Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Looping_prob	TFs(binding prob)
ARSG	chr17	68259169	chr17	68291173	68292252	0.97003	MXI1,(0.994005994005994),MYC,(0.978021978021978),MITF,(0.973026973026973),SMARCC1,(0.952047952047952),CREB3L2,(0.913086913086913),MYCN,(0.899100899100899),KLF8,(0.852147852147852),MAF,(0.801198801198801),
ASAP3	chr1	23484179	chr1	23372041	23372974	0.972028	NR2E1,(1),RORB,(1),GLI1,(0.999000999000999),TP73,(0.996003996003996),PPARA,(0.993006993006993),PPARD,(0.98001998001998),NR1I3,(0.979020979020979),NR3C1,(0.934065934065934),RORC,(0.927072927072927),ZNF219,(0.861138861138861),
ASAP3	chr1	23484179	chr1	23405453	23406385	0.964036	RORC,(1),ESRRG,(0.999000999000999),ESRRA,(0.998001998001998),RORA,(0.997002997002997),ESRRB,(0.997002997002997),PPARA,(0.997002997002997),PPARD,(0.996003996003996),NR4A2,(0.996003996003996),NR4A1,(0.934065934065934),RORB,(0.849150849150849),TP73,(0.835164835164835),
ASB16	chr17	44170703	chr17	43774642	43775628	0.978022	ESRRB,(0.967032967032967),PPARD,(0.935064935064935),OSR1,(0.919080919080919),MEIS1,(0.915084915084915),NR5A2,(0.81018981018981),TFCP2L1,(0.807192807192807),
ASB2	chr14	93976570	chr14	93927254	93928192	0.981019	RORC,(0.999000999000999),NFE2,(0.996003996003996),KLF3,(0.98001998001998),KLF8,(0.955044955044955),NR4A1,(0.861138861138861),NR4A3,(0.854145854145854),
ASCC2	chr22	29838274	chr22	29768069	29768833	0.958042	TEAD1,(0.946053946053946),RARA,(0.926073926073926),NR2C1,(0.815184815184815),
ATE1	chr10	121928801	chr10	121988222	121989232	0.967033	ESRRB,(0.999000999000999),BACH1,(0.997002997002997),ZNF219,(0.997002997002997),NR4A1,(0.997002997002997),MITF,(0.994005994005994),JDP2,(0.993006993006993),TFEB,(0.99000999000999),TEAD1,(0.989010989010989),FOSL1,(0.982017982017982),RARB,(0.978021978021978),ESRRA,(0.968031968031968),JUNB,(0.965034965034965),JUN,(0.965034965034965),SMARCC1,(0.952047952047952),BACH2,(0.911088911088911),MYOD1,(0.869130869130869),USF1,(0.864135864135864),NR1I3,(0.862137862137862),PPARG,(0.82017982017982),NR1I2,(0.809190809190809),SNAI2,(0.807192807192807),
ATP5F1A	chr18	46104233	chr18	46407336	46408231	0.96004	RXRG,(0.999000999000999),NR4A3,(0.997002997002997),TCF7L2,(0.995004995004995),JUNB,(0.992007992007992),BACH1,(0.99000999000999),RXRA,(0.989010989010989),NR1H2,(0.968031968031968),DMBX1,(0.967032967032967),JUN,(0.965034965034965),FOSL1,(0.956043956043956),HLTF,(0.93006993006993),ZIC1,(0.889110889110889),MITF,(0.875124875124875),RXRB,(0.82017982017982),
ATP5F1E	chr20	59032335	chr20	59006731	59007691	0.987013	RXRA,(0.946053946053946),PPARD,(0.935064935064935),RARA,(0.918081918081918),TEAD1,(0.916083916083916),NR4A1,(0.904095904095904),OSR1,(0.821178821178821),
ATP5MG	chr11	118401388	chr11	118099924	118100672	0.952048	NR4A1,(1),NR1I2,(0.999000999000999),ESRRB,(0.998001998001998),NR4A2,(0.997002997002997),HES1,(0.996003996003996),NFE2,(0.993006993006993),NR4A3,(0.993006993006993),ESRRG,(0.99000999000999),PPARD,(0.987012987012987),PPARG,(0.976023976023976),ESRRA,(0.937062937062937),NR5A1,(0.904095904095904),NR5A2,(0.844155844155844),TFCP2,(0.808191808191808),
ATP5MPL	chr14	103921529	chr14	103685113	103686089	0.954046	ESRRG,(0.999000999000999),MXI1,(0.998001998001998),NR4A2,(0.998001998001998),RARB,(0.997002997002997),TFCP2L1,(0.994005994005994),PPARA,(0.957042957042957),NR4A1,(0.949050949050949),ESRRB,(0.902097902097902),RORA,(0.893106893106893),RORB,(0.868131868131868),
ATP6V1E1	chr22	17628822	chr22	17435142	17436031	0.954046	BACH1,(0.954045954045954),NR1I3,(0.913086913086913),TEAD1,(0.863136863136863),NR3C1,(0.859140859140859),
B3GALNT2	chr1	235504452	chr1	235069713	235070697	0.968032	NR1H4,(0.999000999000999),TCF7L2,(0.996003996003996),CREB3L2,(0.991008991008991),NR1I3,(0.977022977022977),MXI1,(0.974025974025974),PPARG,(0.969030969030969),NR2F2,(0.962037962037962),RORA,(0.95004995004995),HNF4A,(0.933066933066933),ESRRG,(0.909090909090909),ATOH1,(0.904095904095904),NR1H3,(0.897102897102897),PGR,(0.878121878121878),RORC,(0.844155844155844),ESRRA,(0.821178821178821),
BCAT2	chr19	48811029	chr19	49071783	49072221	0.991009	RARA,(0.862137862137862),
BIN1	chr2	127107154	chr2	127052049	127052908	0.95005	NFE2,(0.985014985014985),ATOH1,(0.976023976023976),ESR2,(0.971028971028971),ESR1,(0.845154845154845),
BIN1	chr2	127107154	chr2	127170227	127171229	0.969031	CREB3L2,(1),NR4A3,(1),NR2F1,(1),ZNF784,(0.999000999000999),NR4A1,(0.999000999000999),NR4A2,(0.999000999000999),RXRA,(0.999000999000999),HNF4A,(0.998001998001998),NR2C1,(0.99000999000999),NR6A1,(0.989010989010989),HNF4G,(0.988011988011988),RXRB,(0.943056943056943),RARB,(0.927072927072927),NR2F6,(0.898101898101898),
BMPR2	chr2	202376326	chr2	202281154	202282136	0.972028	NR4A3,(0.996003996003996),BACH1,(0.993006993006993),JUN,(0.993006993006993),FOSB,(0.992007992007992),KLF3,(0.99000999000999),BACH2,(0.989010989010989),JUNB,(0.988011988011988),JDP2,(0.987012987012987),FOSL1,(0.967032967032967),SMARCC1,(0.963036963036963),FOSL2,(0.934065934065934),SNAI2,(0.901098901098901),NR6A1,(0.816183816183816),
BRI3	chr7	98281685	chr7	98285999	98287413	0.973027	MITF,(0.983016983016983),KLF3,(0.981018981018981),ESR1,(0.978021978021978),HES1,(0.965034965034965),USF2,(0.933066933066933),RORA,(0.921078921078921),MYC,(0.901098901098901),SNAI2,(0.89010989010989),
BSG	chr19	571282	chr19	584097	585067	0.975025	MYC,(0.998001998001998),KLF3,(0.998001998001998),NR2C1,(0.995004995004995),MAF,(0.988011988011988),KLF8,(0.986013986013986),RXRA,(0.986013986013986),ZKSCAN4,(0.976023976023976),ESR2,(0.976023976023976),CREB3L2,(0.972027972027972),ESR1,(0.935064935064935),RXRG,(0.908091908091908),ATOH1,(0.861138861138861),ZKSCAN3,(0.85014985014985),GLIS1,(0.819180819180819),
C16orf70	chr16	67109940	chr16	67549331	67550261	0.956044	NR2F1,(1),MXI1,(0.997002997002997),NR2F6,(0.993006993006993),ATOH1,(0.992007992007992),NR1H3,(0.961038961038961),RXRA,(0.946053946053946),GCM1,(0.934065934065934),RXRB,(0.915084915084915),RARA,(0.864135864135864),RORC,(0.839160839160839),
C19orf12	chr19	29715789	chr19	29708423	29709418	0.985015	ZIC1,(1),PPARD,(1),NR4A1,(1),ESRRG,(1),ESRRB,(0.999000999000999),NR4A2,(0.999000999000999),NR2F1,(0.999000999000999),TCF7L2,(0.999000999000999),ESRRA,(0.997002997002997),NR3C1,(0.995004995004995),HNF4G,(0.995004995004995),KLF8,(0.991008991008991),HNF4A,(0.981018981018981),ZIC3,(0.973026973026973),BACH2,(0.971028971028971),PPARA,(0.912087912087912),
C1orf54	chr1	150272283	chr1	150259570	150260511	0.981019	ZNF219,(1),
C3orf35	chr3	37386268	chr3	37243909	37244778	0.99001	NR4A2,(0.915084915084915),NR2F6,(0.915084915084915),ZKSCAN4,(0.914085914085914),NR1I2,(0.87012987012987),NR2C1,(0.81018981018981),
CASTOR2	chr7	74964704	chr7	74465905	74466910	0.969031	NR2C1,(1),NR5A1,(0.999000999000999),NR6A1,(0.999000999000999),HES1,(0.997002997002997),NR4A3,(0.995004995004995),RXRG,(0.995004995004995),ESRRA,(0.994005994005994),ESRRB,(0.989010989010989),ZKSCAN4,(0.988011988011988),RXRA,(0.981018981018981),HNF4A,(0.979020979020979),ZIC1,(0.976023976023976),NR1H2,(0.973026973026973),NR1I3,(0.972027972027972),TP73,(0.963036963036963),ESRRG,(0.94005994005994),NR4A1,(0.895104895104895),
CASTOR2	chr7	74964704	chr7	74604052	74604981	0.995005	TEAD1,(0.929070929070929),RARA,(0.887112887112887),KLF3,(0.867132867132867),
CBFB	chr16	67029148	chr16	66935288	66935990	0.97003	KLF3,(0.932067932067932),NFE2,(0.897102897102897),ZNF219,(0.81018981018981),
CBFB	chr16	67029148	chr16	67177861	67178830	0.977023	KLF3,(0.97002997002997),KLF8,(0.899100899100899),NPAS2,(0.893106893106893),MAF,(0.878121878121878),MXI1,(0.861138861138861),
CBR3	chr21	36135078	chr21	36171588	36172570	0.967033	HES1,(1),KLF3,(1),RARB,(1),NR4A2,(1),NR3C1,(0.999000999000999),ESRRA,(0.999000999000999),MAF,(0.98001998001998),PGR,(0.98001998001998),ESR1,(0.962037962037962),ESR2,(0.933066933066933),RARG,(0.924075924075924),
CBR3	chr21	36135078	chr21	36186698	36187536	0.974026	NR6A1,(0.98001998001998),MEIS1,(0.974025974025974),NR2C1,(0.963036963036963),KLF8,(0.921078921078921),SNAI2,(0.911088911088911),NR2F6,(0.814185814185814),
CCM2	chr7	44999745	chr7	44650503	44651462	0.984016	ZIC3,(0.998001998001998),ESRRG,(0.998001998001998),TFEB,(0.996003996003996),NR4A3,(0.996003996003996),NR4A2,(0.993006993006993),MITF,(0.991008991008991),NR1I3,(0.983016983016983),NR1H4,(0.978021978021978),RORC,(0.972027972027972),NR4A1,(0.969030969030969),NR2C1,(0.956043956043956),MTF1,(0.951048951048951),MYOD1,(0.875124875124875),HIC1,(0.823176823176823),NR2F2,(0.813186813186813),
CD36	chr7	80602206	chr7	80603968	80604896	0.986014	CREB3L2,(0.994005994005994),NR4A2,(0.994005994005994),MXI1,(0.988011988011988),NPAS2,(0.96003996003996),MITF,(0.952047952047952),TFEB,(0.897102897102897),
CD36	chr7	80602206	chr7	80636423	80637283	0.977023	MEIS2,(1),PGR,(0.986013986013986),TGIF2,(0.982017982017982),
CD63	chr12	55729673	chr12	55680989	55681943	0.97003	ESR2,(0.996003996003996),FOSB,(0.994005994005994),SMARCC1,(0.99000999000999),PPARG,(0.99000999000999),NR2E1,(0.987012987012987),BACH1,(0.981018981018981),JUN,(0.978021978021978),NR1I2,(0.978021978021978),NR3C1,(0.975024975024975),FOSL1,(0.973026973026973),FOSL2,(0.971028971028971),JDP2,(0.955044955044955),HLTF,(0.95004995004995),JUNB,(0.904095904095904),MAF,(0.903096903096903),BACH2,(0.882117882117882),
CDHR3	chr7	105963263	chr7	105775730	105776652	0.985015	SMARCC1,(0.992007992007992),BACH1,(0.983016983016983),FOSL2,(0.981018981018981),NR2C1,(0.967032967032967),NR4A1,(0.967032967032967),FOSB,(0.953046953046953),JUN,(0.952047952047952),ATF3,(0.941058941058941),TCF7L2,(0.939060939060939),ESR1,(0.929070929070929),ZNF219,(0.912087912087912),NR4A2,(0.891108891108891),BACH2,(0.881118881118881),NR4A3,(0.879120879120879),
CDS2	chr20	5127007	chr20	5150401	5151327	0.978022	NFE2,(1),ESR1,(0.999000999000999),ATF3,(0.994005994005994),TFEB,(0.99000999000999),USF2,(0.986013986013986),MXI1,(0.984015984015984),TGIF2,(0.94005994005994),ESR2,(0.897102897102897),
CDS2	chr20	5127007	chr20	5156272	5157242	0.977023	KLF8,(1),PPARD,(1),NR3C1,(1),NR4A1,(1),RXRA,(1),RXRG,(0.998001998001998),NR1I2,(0.992007992007992),MTF1,(0.972027972027972),NR2F6,(0.972027972027972),FOSB,(0.97002997002997),RXRB,(0.946053946053946),NR4A2,(0.909090909090909),
CEBPD	chr8	47738164	chr8	47659242	47660209	0.994006	ESR1,(1),NR6A1,(1),RORA,(0.984015984015984),NR5A1,(0.966033966033966),PPARG,(0.961038961038961),NR4A2,(0.935064935064935),NR3C1,(0.93006993006993),
CERT1	chr5	75511981	chr5	75363425	75364380	0.958042	NR4A2,(0.978021978021978),TCF7L2,(0.974025974025974),TEAD1,(0.972027972027972),RXRA,(0.947052947052947),NR1I3,(0.925074925074925),
CES3	chr16	66961265	chr16	66935288	66935990	0.992008	KLF3,(0.932067932067932),NFE2,(0.897102897102897),ZNF219,(0.81018981018981),
CES3	chr16	66961265	chr16	67177861	67178830	0.996004	KLF3,(0.97002997002997),KLF8,(0.899100899100899),NPAS2,(0.893106893106893),MAF,(0.878121878121878),MXI1,(0.861138861138861),
CFAP61	chr20	20052531	chr20	20073653	20074593	0.953047	MEIS1,(1),DMBX1,(0.998001998001998),KLF3,(0.997002997002997),TCF7L2,(0.997002997002997),FOSB,(0.996003996003996),MAF,(0.994005994005994),SMARCC1,(0.974025974025974),MITF,(0.953046953046953),FOSL1,(0.94005994005994),PPARA,(0.878121878121878),
CIITA	chr16	10877197	chr16	11084245	11085814	0.96004	USF1,(1),HEY1,(1),FOSB,(1),ATF3,(1),TGIF2,(1),RARB,(1),NR4A2,(1),JUNB,(0.999000999000999),FOSL1,(0.999000999000999),ZIC3,(0.999000999000999),JUN,(0.998001998001998),MTF1,(0.997002997002997),TEAD1,(0.997002997002997),NR1H4,(0.994005994005994),BACH2,(0.99000999000999),NR4A1,(0.99000999000999),FOS,(0.989010989010989),FOSL2,(0.988011988011988),NR1H3,(0.988011988011988),BACH1,(0.987012987012987),GLI1,(0.986013986013986),NR5A1,(0.978021978021978),NR2E1,(0.963036963036963),TFEB,(0.939060939060939),GCM1,(0.937062937062937),NR1H2,(0.929070929070929),HNF4G,(0.928071928071928),MEIS1,(0.912087912087912),NR2F1,(0.908091908091908),SMARCC1,(0.878121878121878),ATOH1,(0.802197802197802),
CKMT2-AS1	chr5	81301569	chr5	81234876	81235885	0.981019	CREB3L2,(0.988011988011988),TCF7L2,(0.986013986013986),MXI1,(0.985014985014985),NPAS2,(0.982017982017982),MYC,(0.978021978021978),SMARCC1,(0.966033966033966),FOSL1,(0.964035964035964),ESR2,(0.961038961038961),NR3C1,(0.959040959040959),PPARG,(0.953046953046953),ESR1,(0.934065934065934),MEIS1,(0.922077922077922),MYCN,(0.876123876123876),ATOH1,(0.876123876123876),NR2C1,(0.821178821178821),
CKMT2-AS1	chr5	81301569	chr5	81244787	81245616	0.984016	MEIS2,(0.945054945054945),JDP2,(0.909090909090909),
CLDN14	chr21	36576569	chr21	36186698	36187536	0.971029	NR6A1,(0.98001998001998),MEIS1,(0.974025974025974),NR2C1,(0.963036963036963),KLF8,(0.921078921078921),SNAI2,(0.911088911088911),NR2F6,(0.814185814185814),
CLEC16A	chr16	10944487	chr16	11084245	11085814	0.977023	USF1,(1),HEY1,(1),FOSB,(1),ATF3,(1),TGIF2,(1),RARB,(1),NR4A2,(1),JUNB,(0.999000999000999),FOSL1,(0.999000999000999),ZIC3,(0.999000999000999),JUN,(0.998001998001998),MTF1,(0.997002997002997),TEAD1,(0.997002997002997),NR1H4,(0.994005994005994),BACH2,(0.99000999000999),NR4A1,(0.99000999000999),FOS,(0.989010989010989),FOSL2,(0.988011988011988),NR1H3,(0.988011988011988),BACH1,(0.987012987012987),GLI1,(0.986013986013986),NR5A1,(0.978021978021978),NR2E1,(0.963036963036963),TFEB,(0.939060939060939),GCM1,(0.937062937062937),NR1H2,(0.929070929070929),HNF4G,(0.928071928071928),MEIS1,(0.912087912087912),NR2F1,(0.908091908091908),SMARCC1,(0.878121878121878),ATOH1,(0.802197802197802),
CLIC5	chr6	46129819	chr6	45998080	45999092	0.971029	ATOH1,(0.993006993006993),HNF4G,(0.992007992007992),RORC,(0.963036963036963),SNAI2,(0.961038961038961),NR2E1,(0.956043956043956),RORA,(0.94005994005994),MITF,(0.892107892107892),MYOD1,(0.874125874125874),
CLIC5	chr6	46129819	chr6	46170554	46171522	0.967033	ZNF219,(0.982017982017982),
CLIP4	chr2	29097675	chr2	28677888	28678864	0.962038	RXRB,(0.99000999000999),NR4A2,(0.985014985014985),HEY1,(0.963036963036963),CREB3L2,(0.958041958041958),NR2F2,(0.957042957042957),BACH2,(0.956043956043956),NR1I3,(0.952047952047952),MXI1,(0.946053946053946),PPARG,(0.927072927072927),NR3C1,(0.918081918081918),ESRRG,(0.892107892107892),NR4A3,(0.891108891108891),RXRA,(0.881118881118881),NR1I2,(0.86013986013986),PPARD,(0.832167832167832),NR4A1,(0.816183816183816),TGIF2,(0.801198801198801),
CLK3	chr15	74608371	chr15	74847166	74848145	0.95005	NR2F6,(0.996003996003996),KLF3,(0.994005994005994),RXRB,(0.994005994005994),NR4A2,(0.992007992007992),RARA,(0.98001998001998),MTF1,(0.97002997002997),NR4A3,(0.965034965034965),SMARCC1,(0.957042957042957),RORA,(0.957042957042957),NR1I2,(0.953046953046953),NR2F2,(0.944055944055944),RXRA,(0.944055944055944),HES1,(0.938061938061938),HLTF,(0.931068931068931),PPARD,(0.922077922077922),RORB,(0.911088911088911),
COG3	chr13	45464938	chr13	45433043	45433999	0.953047	RORC,(1),NR4A2,(1),RXRA,(0.999000999000999),NR3C1,(0.996003996003996),RXRG,(0.926073926073926),NR2F6,(0.823176823176823),
COLQ	chr3	15521706	chr3	15645770	15646673	0.975025	NR4A2,(0.977022977022977),ATOH1,(0.957042957042957),PPARG,(0.917082917082917),JDP2,(0.819180819180819),
COQ3	chr6	99394195	chr6	99393546	99394521	0.985015	NR4A2,(0.958041958041958),ESRRA,(0.947052947052947),ESRRG,(0.928071928071928),ESRRB,(0.827172827172827),
COQ8A	chr1	226940293	chr1	226660222	226661286	0.964036	ESRRG,(0.999000999000999),TFCP2,(0.986013986013986),ESRRB,(0.984015984015984),NR4A1,(0.982017982017982),TCF7L2,(0.977022977022977),PPARG,(0.947052947052947),ESRRA,(0.923076923076923),KLF3,(0.895104895104895),MYC,(0.83016983016983),
COQ8A	chr1	226940293	chr1	226697652	226698642	0.954046	NR4A2,(1),HNF4G,(1),NR4A1,(0.998001998001998),NFE2,(0.997002997002997),MYOD1,(0.993006993006993),ATOH1,(0.988011988011988),NR4A3,(0.987012987012987),ESR1,(0.947052947052947),MAF,(0.859140859140859),
CPEB4	chr5	173888348	chr5	173499194	173500241	0.978022	MYC,(0.998001998001998),RXRA,(0.996003996003996),ESR1,(0.992007992007992),PPARD,(0.989010989010989),RXRG,(0.983016983016983),ESR2,(0.982017982017982),ZKSCAN4,(0.929070929070929),
CPEB4	chr5	173888348	chr5	173657657	173658623	0.985015	NR4A1,(1),RARA,(1),ESRRG,(1),NR4A3,(0.999000999000999),ESRRB,(0.999000999000999),NR4A2,(0.999000999000999),ESRRA,(0.996003996003996),SMARCC1,(0.982017982017982),NR1H3,(0.965034965034965),NR5A2,(0.959040959040959),
CPEB4	chr5	173888348	chr5	173766114	173767005	0.97003	MXI1,(0.984015984015984),TCF7L2,(0.966033966033966),CREB3L2,(0.953046953046953),KLF3,(0.953046953046953),HEY1,(0.948051948051948),NR3C1,(0.942057942057942),
CPEB4	chr5	173888348	chr5	173954632	173955623	0.979021	RORC,(0.999000999000999),JDP2,(0.997002997002997),HES1,(0.996003996003996),MEIS1,(0.995004995004995),TCF7L2,(0.994005994005994),SMARCC1,(0.993006993006993),FOSB,(0.99000999000999),NR4A2,(0.99000999000999),BACH2,(0.984015984015984),BACH1,(0.983016983016983),JUN,(0.976023976023976),FOSL1,(0.97002997002997),FOSL2,(0.969030969030969),SNAI2,(0.878121878121878),
CREBBP	chr16	3880713	chr16	3745705	3746694	0.958042	MYC,(1),MYOD1,(0.999000999000999),ESR1,(0.999000999000999),NR4A3,(0.999000999000999),MXI1,(0.996003996003996),ZNF691,(0.996003996003996),FOSL1,(0.994005994005994),RARA,(0.994005994005994),ESR2,(0.994005994005994),NR2E1,(0.992007992007992),MYF5,(0.99000999000999),FOSB,(0.987012987012987),CREB3L2,(0.982017982017982),PGR,(0.965034965034965),TEAD1,(0.963036963036963),BACH2,(0.961038961038961),ZIC1,(0.96003996003996),NR4A2,(0.951048951048951),MITF,(0.95004995004995),TFCP2,(0.942057942057942),ZIC3,(0.876123876123876),MTF1,(0.859140859140859),PPARA,(0.851148851148851),GLI1,(0.848151848151848),
CREBBP	chr16	3880713	chr16	4113205	4114122	0.956044	NR2F1,(0.981018981018981),MAF,(0.975024975024975),ESR2,(0.971028971028971),NR4A2,(0.915084915084915),RARA,(0.913086913086913),RXRA,(0.891108891108891),ESRRB,(0.828171828171828),
CRK	chr17	1456232	chr17	1459975	1460905	0.959041	ZNF219,(0.971028971028971),BACH2,(0.967032967032967),JUN,(0.962037962037962),RARB,(0.938061938061938),FOSL1,(0.929070929070929),JUND,(0.913086913086913),FOSL2,(0.901098901098901),PGR,(0.901098901098901),SNAI2,(0.884115884115884),ATOH1,(0.884115884115884),JUNB,(0.873126873126873),HLTF,(0.806193806193806),SMARCC1,(0.8001998001998),
CRK	chr17	1456232	chr17	1586899	1587849	0.98002	ESRRG,(0.977022977022977),NR4A2,(0.969030969030969),ESRRB,(0.968031968031968),MEIS2,(0.953046953046953),NR4A1,(0.953046953046953),TEAD1,(0.953046953046953),NR4A3,(0.947052947052947),TP73,(0.914085914085914),ESRRA,(0.901098901098901),NR5A2,(0.884115884115884),MEIS1,(0.855144855144855),JUND,(0.852147852147852),TGIF2,(0.807192807192807),
CRK	chr17	1456232	chr17	1647154	1647934	0.963037	SNAI2,(0.966033966033966),NR2E1,(0.939060939060939),PPARG,(0.848151848151848),NR1I2,(0.836163836163836),
CRK	chr17	1456232	chr17	1769077	1769940	0.967033	NR2F1,(0.992007992007992),ESRRG,(0.99000999000999),NR4A3,(0.987012987012987),RORC,(0.982017982017982),PPARD,(0.967032967032967),ESRRA,(0.952047952047952),RORA,(0.929070929070929),NFE2,(0.913086913086913),PPARA,(0.908091908091908),NR4A2,(0.897102897102897),NR4A1,(0.89010989010989),
CRTC1	chr19	18683679	chr19	18506676	18507598	0.956044	TFEB,(0.965034965034965),NR4A3,(0.955044955044955),PPARD,(0.922077922077922),RXRA,(0.921078921078921),NR2F6,(0.916083916083916),RXRG,(0.905094905094905),MITF,(0.874125874125874),TP73,(0.834165834165834),
